Он сел в трамвай и поехал домой.|He got on the tram and went home.
Я хочу стать водителем трамвая.|I want to become a tram driver.
Слишком поздно. Трамваи не ходят.|It's too late. The trams aren't running.
Я купила два килограмма яблок.|I bought two kilos of apples.
Килограмм брокколи стоит сто рублей.|A kilogram of broccoli costs one hundred rubles.
Мой рюкзак весит восемь килограммов.|My backpack weights eight kilograms.
Эта работа подходит для активных людей.|This work is suitable for active people.
Аудитория играет активную роль в жизни артиста.|The audience plays an active role in a performer's life.
Маша устала от активной жизни.|Masha got tired of her active life.
Моя мама любит гулять в парке вечером.|My mother likes walking in the park in the evening.
После школы девочки пошли в парк.|After school the girls went to the park.
Фестиваль чая пройдёт на территории Парка Горького.|The Tea Festival will take place on the grounds of Gorky Park.
Новый закон защищает интересы бизнесменов.|The new law protects the interests of businessmen.
Бизнесмен должен быть честным.|A businessman has to be honest.
Российские бизнесмены протестуют против повышения налогов.|Russian businessmen are protesting against a tax increase.
Работники музея могут посещать выставки бесплатно.|The museum workers can go to the exhibitions for free.
В этом музее есть скелет синего кита.|There is a skeleton of a blue whale in this museum.
Музей Москвы был открыт в девятнадцатом веке.|The Moscow Museum opened in the nineteenth century.
Саша – богатый человек, но скромный.|Sasha is a rich man but a modest one.
Жизнь в центре города – удовольствие только для богатых людей.|Living in the city center is a luxury for rich people only.
Я совсем не хочу быть богатым.|I don't want to be rich at all.
Эта группа не сдаст экзамен по химии.|This group won't pass the chemistry exam.
Летом мы сдаём экзамены по всем предметам.|In summer we have exams in all subjects. 
После экзаменов я собираюсь спать три дня.|After the exams I am going to sleep for three days.
Он всегда ест хлеб с маслом на завтрак.|He always has bread and butter for breakfast.
Нужно добавить в салат больше оливкового масла.|You need to add more olive oil to the salad.
Дома закончилось сливочное масло, нужно купить.| There’s no more butter in the house, we need to buy some.
Немцы любят пиво.|Gemans like beer.
В моём университете много немцев.|There are many Germans at my university.
В его анекдотах всегда есть русский, француз и немец.|His jokes are always about a Russian, a Frenchman and a German.
Я кладу в чай одну ложку сахара.|I put a spoonful of sugar in my tea.
Маленький мальчик ест суп большой ложкой.|The little boy eats soup with a big spoon.
Здесь нет ложки.|There is no spoon.
Он положил левую руку мне на плечо.|He put his left hand on my shoulder.
Левые не получают поддержки от правительства Российской Федерации.|Leftists don't get support from the government of the Russian Federation.
Маша сломала палец левой руки.|Masha broke her finger on her left hand.
Это комедия, в ней никто не умирает.|This is a comedy, so nobody dies.
Я читал это в комедии Шекспира.|I read it in a comedy by Shakespeare.
Я останусь дома и посмотрю хорошую комедию.|I’ll stay at home and watch a good comedy.
Мне понравилось это вино.|I really liked this wine.
Моему брату не понравился мой новый друг.|My brother didn't like my new friend.
София сразу мне понравилась.|I liked Sophia at once.
На перемене мы обычно играем в футбол или пинг-понг.|During the break we always play soccer or ping-pong.
Никакого футбола в моём дворе!|No soccer in my yard!
В 2018 чемпионат мира по футболу прошёл в России.|In 2018 the World Cup was held in Russia.
Мы пообедали в новом кафе.|We ate lunch in the new café.
После работы мы решили вместе пообедать.|After work we decided to eat lunch together.
Мы с Марией пообедаем вместе, а потом пойдём в кино.|Maria and I are going to eat lunch and then go to the movie theater.
Например, ты можешь положить в сэндвич лист салата.|For example, you can put a lettuce leaf in the sandwich.
Папа сегодня готовит свой любимый салат.|Today Dad is making his favorite salad.
На Новый Год люди обычно готовят пять или шесть разных салатов.|For the New Year celebration people usually prepare five or six different salads. 
Друзья будут ждать меня у стадиона.|My friends will wait for me outside the stadium.
"На стадионе ""Лужники"" пройдёт следующий матч чемпионата мира."|The next World Cup will be held at the Luzhniki stadium.
Стадион был построен в 2014 году.|The stadium was built in 2014.
Я ушла и заперла дверь на ключ.|I left and locked the door with the key.
Кажется, я забыл ключи.|It seems I forgot the keys.
Мама откроет дверь своим ключом.|Mom will open the door with her key.
Я купила десяток яиц.|I bought ten eggs.
Папа достал из холодильника яйца и помидоры.|Dad took eggs and tomatoes out of the refrigerator.
На завтрак я съел яйцо.|For breakfast I ate an egg.
Я не покупаю одежду этой марки.|I don't buy this brand of clothes.
У меня большая коллекция марок.|I have a big stamp collection.
Моя сестра предпочитает другую марку пива.|My sister prefers another brand of beer.
Брат попросил у меня деньги на обед.|My brother asked me for money to buy lunch.
Я хотела попросить у него денег.|I wanted to ask him for money.
Саша, мама попросила тебя помыть посуду.|Sasha, Mom asked you to wash the dishes.
Я хочу взять интервью у артиста цирка.|I want to interview a circus performer.
Работа в цирке тяжёлая, но интересная.|Working in the circus is hard but interesting
Этот цирк великолепен!|This circus is incredible!
После обеда я всегда хочу спать.|After lunch I always want to sleep.
Обед начинается в два часа.|Lunch starts at two o'clock.
Думаю, мы вернёмся к обеду.|I think we're going to come back before lunch.
Я положила в торт двести грамм сахара.|I put 200g of sugar in the cake.
Каждый из нас выпил сто граммов водки.|Each of us drank 100 grams of vodka.
Вес золотой медали Олимпийских игр — пятьсот шестьдесят два грамма. |The Olympic gold medal weighs 562 grams.
Мы остановимся в гостинице на площади Восстания.|We are staying in the hotel on Vosstaniya Square.
Наша гостиница была ужасна.|Our hotel was terrible.
Мы выезжаем из гостиницы в восемь утра.|We're leaving the hotel at 8 in the morning.
Он всегда ходит с ножом.|He always carries a knife.
Я не могу найти нож.|I can't find a knife.
Мы купили новые ножи на кухню.|We bought new kitchen knives.
Мой старший брат – мастер спорта по боксу.|My big brother is a master of sports in boxing.
Заниматься спортом полезно для здоровья.|Playing sports is good for one's health.
Я ничего не понимаю в спорте.|I don't understand anything about sports.
Какая у тебя красивая рубашка!|What a lovely shirt you have!
Было жарко, и я снял рубашку.|It was hot, so I took off my shirt.
Машенька положила конфету в карман рубашки.|Mashenka put a candy in her shirt pocket.
Эту технологию используют в медицине.|This technology is used in medicine.
Медицина в России — бесплатная.|Medical care in Russia is free of charge.
Развитие медицины — важная задача.|The development of medicine is an important task.
Следующая остановка — «площадь Восстания».|"The next stop is ""Vosstaniya square""."
Приходи! Я жду тебя на остановке.|Come! I’m waiting for you at the bus stop.
Через пять остановок я вышел из автобуса.|I got off the bus after 5 stops.
В Москве много немецких туристов.|There are a lot of German tourists in Moscow.
Маша — преподаватель немецкого языка.|Masha is a German teacher.
Я учил немецкий в школе, но уже ничего не помню.|I learned German at school but now I don’t remember anything.
Мне нравится зелёный чай с мятой.|I like green tea with mint.
У Оли зелёные глаза и чёрные волосы.|Olya has green eyes and black hair.
Купи зелёной краски! Мы красим стены в доме.|Buy some green paint! We’re painting the walls in our house.
День рождения нашей учительницы — в апреле.|Our teacher’s birthday is in April.
Наша учительница строгая, но справедливая.|Our teacher is strict but fair.
Вчера я позвонил учительнице, потому что не пришёл на урок.|I called my teacher yesterday because I didn’t go to class.
Какой у вас родной язык?|What is your mother tongue?
Мне всегда уютно в моём родном городе.|I always feel comfortable in my hometown.
Ты как с родным отцом разговариваешь?|Is that any way to speak to your own father?
Каким видом транспорта вы пользуетесь?|Which means of transport do you use?
Я не пользуюсь общественным транспортом — у меня своя машина.|I don’t use public transport — I have my own car.
Важно развивать общественный транспорт.|It’s important to develop public transport.
Какой красивый браслет! Можно посмотреть?|What a beautiful bracelet! Can I take a look?
Ты посмотрел, как пройти в центр города?|Did you check how to get to the city center?
Она странно посмотрела на меня.|She gave me a strange look.
Жди меня у входа в магазин!|Wait for me at the entrance to the store!
На входе в аэропорт теперь стоит охрана.|There is now security at the entrance to the airport.
Я не вижу вход в этот магазин.|I can’t see the entrance to this shop.
Французский президент вчера прибыл в Москву.|The French president arrived in Moscow yesterday.
Вчера закончился фестиваль французской культуры.|The festival of French culture ended yesterday.
Во французском языке есть артикли: le, la, les.|There are articles in French: le, la, les.
Мы поедем в центр на автобусе. Трамваи туда не ходят.|We’ll take the bus to the city center. No trams go there.
Я знаю маршрут этого автобуса.|I don't know the route of this bus.
В московских автобусах есть бесплатный интернет.|There is free internet in Moscow buses.
Почему об этом не пишут в учебниках по истории?|Why they don’t write about that in history textbooks?
Наши учебники по математике очень сложные.|Our math books are very difficult.
Мне нужен этот учебник.|I need this textbook.
Сколько иностранных языков вы знаете?|How many foreign languages do you know?
Он пошёл в библиотеку иностранной литературы.|He went to the foreign literature library.
Иностранным гражданам в этом музее скидка.|There is a discount for foreign citizens in this museum.
Как здорово, что ты приехал!|It's so great that you came!
Ты очень устал. Тебе нужен здоровый сон.|You’re so tired. You need some good sleep.
Петя болел на прошлой неделе, но сейчас абсолютно здоров.|Petya was sick last week but now he is absolutely fine.
Любовь делает меня счастливым.|Love makes me happy.
Меня взяли на работу! Какой счастливый день сегодня!|I got a job! What a happy day!
Ты счастлив с ней?|Are you happy with her?
Мой папа — инженер.|My father is an engineer.
На нашем заводе свободна должность главного инженера.|At our factory the position of chief engineer is available.
В нашу компанию нужны инженеры.|We need engineers in our company.
Мужской туалет находится справа от кассы.|The men’s bathroom is to the right of the cash register.
По-русски «дом» — существительное мужского рода.|In Russian «house» is a masculine noun.
В этом магазине нет мужских духов. |There's no men's perfume in this shop.
Я не могу найти свои очки.|I can't find my glasses.
Я всегда смотрю телевизор в очках.|I always wear glasses when I watch TV.
Я не могу читать без очков.|I can't read without glasses.
Как называется приложение с картой метро?|What is the name of the app with a map of the metro?
Он узнал об этом из приложения к журналу.|He learned about it from the insert in the magazine.
Результаты анализов смотрите в приложении.|See the results of analyses in the attachment.
